Tmix,s	Tmix,days	Voltage,V	Power,W	Heat,J	Power/SCM,W/g	Heat/SCM,J/g
3775	0.04369212962962963	0.02496	0.2967	1707.0	0.00390319112466753	22.4561754290781
3835	0.04438657407407407	0.02478	0.2946	1725.0	0.003875564898304867	22.69297165504378
3895	0.04508101851851852	0.02459	0.2923	1742.0	0.003845307602764809	22.91661253512247
3955	0.04577546296296296	0.02439	0.29	1760.0	0.00381505030722475	23.15340876108814
4015	0.0464699074074074	0.02419	0.2876	1777.0	0.003783477477095995	23.37704964116683
4075	0.04716435185185185	0.02399	0.2852	1794.0	0.003751904646967238	23.60069052124553
4135	0.0478587962962963	0.02378	0.2827	1811.0	0.003719016282249783	23.82433140132422
4195	0.04855324074074074	0.02357	0.2802	1828.0	0.003686127917532328	24.04797228140291
4255	0.04924768518518519	0.02336	0.2777	1845.0	0.003653239552814873	24.2716131614816
4315	0.04994212962962963	0.02313	0.275	1861.0	0.003617720118920023	24.48209869567332
4375	0.05063657407407408	0.02291	0.2723	1878.0	0.003582200685025171	24.70573957575201
4435	0.05133101851851852	0.02267	0.2695	1894.0	0.003545365716541622	24.91622510994372
4495	0.05202546296296296	0.02242	0.2666	1910.0	0.003507215213469374	25.12671064413543
4555	0.05271990740740741	0.02217	0.2636	1926.0	0.003467749175808429	25.33719617832714
4615	0.05341435185185185	0.02193	0.2607	1942.0	0.003429598672736181	25.54768171251885
4675	0.05410879629629629	0.02167	0.2576	1957.0	0.003388817100486537	25.74501190082358
4735	0.05480324074074074	0.02141	0.2546	1973.0	0.003349351062825591	25.95549743501529
4795	0.05549768518518518	0.02115	0.2515	1988.0	0.003308569490575948	26.15282762332001
4855	0.05619212962962963	0.02089	0.2484	2003.0	0.003267787918326304	26.35015781162474
4915	0.05688657407407408	0.02063	0.2453	2018.0	0.00322700634607666	26.54748799992947
4975	0.05758101851851852	0.02037	0.2422	2032.0	0.003186224773827016	26.73166284234722
5035	0.05827546296296297	0.02012	0.2392	2047.0	0.00314675873616607	26.92899303065195
5095	0.05896990740740741	0.01986	0.2362	2061.0	0.003107292698505125	27.1131678730697
5155	0.05966435185185185	0.01961	0.2332	2075.0	0.003067826660844179	27.29734271548744
5215	0.0603587962962963	0.01936	0.2302	2089.0	0.003028360623183233	27.48151755790519
5275	0.06105324074074074	0.01912	0.2274	2103.0	0.002991525654699684	27.66569240032294
